ADM_RATE,AGE_ENTRY,AVGFACSAL,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,LOCALE,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCIP14,PCIP27,PFTFAC,PCT_ASIAN,PCT_BLACK,PCT_WHITE,PCT_HISPANIC,PCTPELL,REGION,SAT_AVG,UGDS
NA,21.151639344,6315,Private-NP,22696,2561968,0.4897540984,0.3980582524,28500,Town,30032,23900,0,0.007,0.5181,1.07000005245208,52.1399993896484,43.0900001525878,4.71000003814697,0.7167,Southeast,NA,1144
0.9527,25.749796913,7194,Public,21376,152060888,0.6510154346,0.3898457122,25000,Town,41691,41100,0,0.0049,0.4692,1.07000005245208,34,62.0200004577636,2.81999993324279,0.4028,Southeast,1082,10916
0.342,19.723193916,7398,Private-NP,41991,123415957,0.6509505703,0.2306438468,27000,Town,43878,42200,0.1962,0.0189,0.886,2.84999990463256,47.1599998474121,42.8499984741211,8.98999977111816,0.1318,Southeast,1080,2184
0.6905,25.107503075,9370,Public,20548,60842848,0.5987699877,0.3891938746,20210,City,49846,51200,0.0397,0.0043,0.5076,4.26000022888183,4.17999982833862,73.6600036621093,5.09000015258789,0.1999,Far West,NA,7284
0.6469,25.450308815,9570,Public,19621,114179961,0.5940482875,0.3988326848,20291,Surbuban,46150,45100,0.0687,0.0038,0.5811,2.49000000953674,4.67999982833862,69.3499984741211,4.67999982833862,0.2178,Far West,1169,4108
0.9603,25.582191781,6497,Private-NP,38278,78389954,0.6301369863,NA,23500,City,47105,45300,0,0,0.4804,4.1100001335144,4.44999980926513,73.1299972534179,6.88999986648559,0.4103,Far West,NA,347
0.8819,24.7478311,11668,Public,26992,821111133,0.5568306611,0.3813179205,19500,City,58967,55500,0.091,0.013,0.7237,2.90000009536743,3.49000000953674,78.7600021362304,19.2000007629394,0.3276,Southwest,NA,64216
0.8727,21.308737695,11400,Public,27985,983848320,0.5628539071,0.3140729569,19620,City,59805,56000,0.068,0.011,0.7586,3.15000009536743,3.34999990463256,77.5100021362304,22.5200004577636,0.2868,Southwest,1230,36560
0.7376,25.385231459,9290,Private-NP,56260,51768000,0.1816434407,0.3554592721,23666,Rural,82012,70300,0.3448,0,0.7611,3.64000010490417,9.75,78.7900009155273,11.329999923706,0.1901,Southwest,1240,3015
0.7835,24.125097428,8903,Public,28480,203671000,0.6385814497,0.3868625756,19000,City,50118,44600,0.0406,0.0065,0.6536,2.22000002861022,2.47000002861022,74.9000015258789,18.75,0.3174,Southwest,NA,23772
0.9932,27.980676329,5070,Private-NP,44892,2243628,0.6956521739,0.2319587629,16300,City,37590,34300,0,0,0.359,2.61999988555908,3.27999997138977,81.870002746582,15.369999885559,0.4455,Southwest,NA,383
0.7594,22.759109312,5291,Private-NP,47850,251427,0.2894736842,0.3825503356,23000,Surbuban,44012,34900,0,0,0.3222,2.39000010490417,2.34999990463256,82.2699966430664,19.7099990844726,0.3924,Southwest,1043,1012
0.5769,25.515523089,7772,Public,20260,137934462,0.6464909992,0.3910404624,22000,City,42973,39500,0.0134,0.0053,1,1.01999998092651,26.0699996948242,70.0500030517578,2.56999993324279,0.4255,Southeast,1119,5025
NA,28.42,9475,Public,NA,334680000,0.8375,0.3950276243,14000,City,71265,69000,0,0,0.8949,0.86000001430511,16.4500007629394,79.3399963378906,2.97000002861022,0.326,Southeast,NA,1072
NA,21.672,4397,Private-NP,22127,NA,0.2502857143,0.4495289367,25375,City,27908,25100,0,0,0.5143,1.02999997138977,44.6699981689453,50.8600006103515,3.47000002861023,0.6659,Southeast,NA,414
0.2721,19.920110193,6087,Private-NP,33415,97668919,0.4325068871,0.3,21500,Town,45416,44800,0,0.0556,0.8596,0.93000000715255,6.86999988555908,88.7099990844726,3.13000011444091,0.388,Southeast,1163,576
0.8267,21.283907238,10047,Public,23843,1209277289,0.5588193956,0.2599614872,21500,City,54417,52700,0.1084,0.0047,0.8463,1.4800000190734801,7.80999994277954,84.9499969482422,5.21999979019165,0.1795,Southeast,1188,24001
0.6753,21.153024911,6008,Public,18873,7488701,0.5960854093,0.3677375256,24202,City,34777,30600,0,0.0109,0.8174,0.95999997854232,52.7000007629394,42.9199981689453,3.94000005722045,0.6984,Southeast,902,2444
0.6329,23.319087044,7423,Public,21752,82311424,0.6108749161,0.3882667965,20500,City,39824,36600,0.0233,0.0047,1,0.49000000953674,13.9499998092651,83.2600021362304,1.92999994754791,0.367,Southeast,1149,7478
0.9437,23.041621268,6845,Public,19857,49075714,0.5661364132,0.4574780059,21000,Town,40334,38600,0.0287,0.0015,0.9914,0.60000002384185,5.53999996185302,89.7600021362304,3.65000009536743,0.3553,Southeast,NA,6467
0.9237,21.152542373,7271,Public,21408,37677482,0.6165561287,0.3459589224,20346,City,43712,42500,0.0026,0.0053,0.8036,0.72000002861022006,16.5699996948242,79.8000030517578,2.50999999046325,0.3658,Southeast,1133,7763
0.616,24.791962175,5492,Private-NP,27262,3624265,0.4609929078,0.3455497382,22250,City,42333,43000,0,0,0.3011,0.81000000238418,12.4600000381469,83.2799987792968,2.98000001907348,0.4768,Southeast,1059,546
NA,20.22875817,5516,Private-NP,23830,1528294,0.3921568627,0.3956834532,26228,Rural,29667,29600,0,0,0.475,0.47999998927116,7.26999998092651,89.6900024414062,2.28999996185302,0.5812,Southeast,NA,170
0.5414,20.986959506,7507,Private-NP,33168,166223072,0.5682910089,0.2054794521,26500,Town,50273,47000,0.0613,0.0035,0.7235,1.82000005245208,8.89999961853027,84.5299987792968,5.73000001907348,0.2128,Southeast,1183,3262
0.7501,21.535365152,6613,Public,25533,22488060,0.5543415756,0.3767383059,19500,Town,40681,40400,0.0092,0.0018,0.9947,0.76999998092651,16.4799995422363,78.7900009155273,4.30000019073486,0.4638,Southeast,1084,2205
0.683,19.430555556,7615,Private-NP,55218,181804465,0.505952381,0.1920668058,26688,City,48230,44500,0,0.0256,1,2.00999999046325,11.7700004577636,81.620002746582,5.55999994277954,0.2863,Southeast,1286,1103
0.5287,24.157142857,7137,Private-NP,41492,126697574,0.6155844156,0.2888283379,21250,Town,54964,55400,0.0757,0.0104,0.9483,1.55999994277954,5.01000022888183,85.8399963378906,6.51999998092651,0.2489,Southeast,1231,1381
0.7375,19.762951334,6545,Private-NP,41491,120694205,0.4945054945,0.2354892206,21050,Town,46670,46000,0,0.0028,0.95,2.36999988555908,12.7799997329711,78.9899978637695,7.63000011444091,0.2428,Southeast,NA,1572
0.5537,20.134831461,6875,Private-NP,34732,112268256,0.4859550562,0.346875,20875,Town,40448,38600,0,0.0065,0.7969,1.12999999523162,6.57000017166137,85.8000030517578,7.28000020980835,0.3541,Southeast,1061,775
NA,21.860791826,5891,Private-NP,25960,9672116,0.6232439336,0.4303405573,24736,City,35537,27300,0,0.0274,1,1.41999995708465,46.1599998474121,48.0800018310547,4.92999982833862,0.7547,Southeast,NA,709
0.641,20.942307692,5416,Private-NP,31252,13190757,0.4346153846,0.3235294118,21820,Rural,38840,36400,0,0,1,0.38999998569488,6.09999990463257,90.870002746582,1.70000004768371,0.5094,Southeast,1100,593
0.626,21.33203125,7043,Public,23732,52176439,0.5619419643,0.4209215442,18750,Town,40671,39000,0.0188,0.0055,0.5824,0.62000000476837,28.75,67.4800033569336,3.55999994277954,0.4505,Southeast,1094,2795
NA,22.930601698,7009,Public,18174,93712579,0.5636766334,0.4840221559,18250,City,39832,35000,0.0152,0.0065,0.7267,1.95000004768371,3.97000002861023,85.9400024414062,4.76999998092651,0.4137,Southeast,NA,4188
